"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCL5",1.26300817606503e-42,2.28984936212357,0.976,0.207,1.79422941491798e-38
"GZMK",1.45019859934031e-114,2.28514891264956,0.561,0.011,2.06015213022284e-110
"GZMA",2.7897243258557e-77,2.26655594098293,0.756,0.047,3.96308237731061e-73
"NKG7",6.88093430593329e-33,2.23996753966549,0.829,0.183,9.77505527500883e-29
"CST7",8.40242621671672e-103,2.19823535442725,0.878,0.045,1.19364866834678e-98
"IL32",7.59377572750219e-38,2.08613700880706,0.902,0.188,1.07877177984896e-33
"GNLY",8.52337004647276e-22,2.03138282313,0.512,0.088,1.21082994880192e-17
"GZMH",1.45487962071302e-80,2.02224741430264,0.61,0.026,2.06680198918491e-76
"CD8A",2.31410738880636e-118,1.99219781849203,0.683,0.019,3.28742095653832e-114
"CD3E",2.93762753623449e-44,1.8778747764006,0.902,0.137,4.17319367797472e-40
"SYNE2",3.06852488232798e-71,1.85406633592948,0.756,0.051,4.35914644783514e-67
"GZMM",8.89239765540342e-103,1.83918525603475,0.732,0.028,1.26325401092661e-98
"CD3G",4.96722154344755e-40,1.77197694166594,0.732,0.096,7.05643492462159e-36
"PRKCH",2.04952347295688e-83,1.73234317790518,0.78,0.045,2.91155304568254e-79
"CD2",5.36696677906732e-45,1.71997449640413,0.659,0.065,7.62431300634304e-41
"TRAC",5.27063817830854e-44,1.70536777276486,0.707,0.076,7.48746859610512e-40
"CTSW",7.4539453114356e-64,1.6727940509945,0.634,0.038,1.05890747094254e-59
"KLRD1",2.8174329387869e-87,1.64161204039315,0.61,0.022,4.00244523284067e-83
"RORA",1.08128790914657e-64,1.6255909622475,0.61,0.035,1.53607760373362e-60
"SLC38A1",8.64049234005431e-69,1.62252560835674,0.707,0.045,1.22746834182811e-64
"CD3D",7.18492916172975e-37,1.6118212544913,0.732,0.098,1.02069103671533e-32
"SKAP1",8.41374948874377e-92,1.60647828657967,0.634,0.024,1.19525725237094e-87
"ETS1",7.73505941418727e-31,1.57998373193792,0.854,0.161,1.09884254037944e-26
"IL7R",7.60090167776321e-17,1.56975840269534,0.561,0.135,1.07978409234304e-12
"FGFBP2",2.35334893130716e-59,1.54464195124804,0.439,0.018,3.34316749181495e-55
"CD8B",2.94382170602809e-88,1.54019048301523,0.537,0.016,4.1819931155835e-84
"SAMD3",2.5791174056765e-74,1.46757182284729,0.537,0.021,3.66389418650403e-70
"LYAR",2.41224003222484e-25,1.46731055334902,0.659,0.122,3.42682818977861e-21
"BCL11B",7.5465245668262e-30,1.43377103057369,0.707,0.108,1.07205927996333e-25
"TRBC2",8.17881621783688e-24,1.39621790611428,0.707,0.137,1.16188263190591e-19
"TRBC1",8.73040472577721e-30,1.39361680985252,0.463,0.047,1.24024129534391e-25
"C12orf75",1.43960950427832e-34,1.37775452722707,0.585,0.066,2.04510926177777e-30
