p_val,avg_log2FC,pct.1,pct.2,p_val_adj
GNLY,0,2.87274574072997,0.959,0.175,0
KLRF1,0,2.73612400154051,0.856,0.036,0
GZMB,0,2.64746524029384,0.897,0.11,0
IL2RB,0,2.22849670374691,0.856,0.135,0
HOPX,0,2.22212881675326,0.864,0.144,0
SPON2,0,2.14776111497124,0.754,0.137,0
CLIC3,0,2.14593185919728,0.785,0.124,0
TRDC,0,2.13197279473952,0.774,0.053,0
PRF1,0,2.10610187293241,0.957,0.219,0
CMC1,0,2.03610382133824,0.801,0.15,0
KLRB1,0,2.01732598469798,0.836,0.168,0
KLRD1,0,1.98892925434727,0.964,0.218,0
CTSW,0,1.82255005953826,0.97,0.35,0
KLRC1,0,1.73602409128096,0.362,0.015,0
NKG7,0,1.73477712762815,1,0.371,0
FCGR3A,0,1.7162306786115,0.777,0.162,0
CST7,0,1.67475012648427,0.984,0.313,0
FGFBP2,1.82664103711455e-291,1.64634846504184,0.753,0.197,2.59492625732492e-287
GZMA,0,1.58473844919338,0.966,0.306,0
AREG,7.73429509365239e-280,1.57095124095722,0.423,0.057,1.09873396100426e-275
B3GNT7,0,1.55730301330529,0.394,0.008,0
TYROBP,0,1.54752798881157,0.942,0.268,0
MATK,0,1.53662616229521,0.745,0.183,0
MAP3K8,5.60672369131814e-251,1.53120335585764,0.715,0.238,7.96491167588655e-247
METRNL,7.08312529545596e-287,1.52481442923279,0.676,0.179,1.00622877947247e-282
SH2D1B,0,1.49256495306479,0.4,0.01,0
S1PR5,2.47127149648723e-303,1.4886851563393,0.54,0.093,3.51068828790976e-299
CD160,7.57189130310806e-283,1.47865890843041,0.475,0.073,1.07566287851953e-278
FCER1G,9.68734158364025e-291,1.47162776497498,0.855,0.259,1.37618374537193e-286
PTGDR,0,1.47147665878001,0.491,0.055,0
IGFBP7,0,1.45170582658672,0.369,0.033,0
CD63,2.96229938894933e-296,1.44264154479248,0.867,0.367,4.20824251194142e-292
APMAP,1.35766531303872e-270,1.43408283014062,0.741,0.223,1.9286993437028e-266
CCL4,2.89034765411449e-244,1.42435775826164,0.66,0.172,4.10602787743504e-240
SYTL3,1.82060782671113e-248,1.41013217459756,0.648,0.174,2.58635547862583e-244
CD247,8.46062932730158e-285,1.39604514068963,0.893,0.429,1.20191700223646e-280
PTGDS,1.1127856285805e-157,1.39496240103431,0.139,0.007,1.58082326396146e-153
CHST2,2.49265644426445e-275,1.39442059407142,0.428,0.062,3.54106774472208e-271
NCR3,2.02058753842571e-260,1.37300564070334,0.496,0.088,2.87044665708757e-256
MYBL1,9.18089429324919e-213,1.36637789402241,0.532,0.128,1.30423784329898e-208
CEP78,1.32148946959659e-211,1.3604232908903,0.59,0.163,1.87730794050892e-207
CD7,0,1.34892101436705,0.947,0.515,0
HSH2D,4.00909805115539e-216,1.34077710326785,0.548,0.14,5.69532469147135e-212
ADGRG1,3.47428097490466e-224,1.33454876973943,0.536,0.119,4.93556355294956e-220
TTC38,6.91649569378092e-258,1.317911624129,0.456,0.074,9.82557378258518e-254
RUNX3,1.94938325510066e-243,1.31629887072995,0.846,0.368,2.769293852196e-239
XCL2,0,1.30187987839326,0.339,0.024,0
MYOM2,0,1.29799244067697,0.247,0.009,0
RHOC,1.13833735635162e-215,1.29692036302605,0.539,0.128,1.61712204843312e-211
PRSS23,1.51088387941252e-227,1.25002072658992,0.419,0.069,2.14636163909342e-223
MAFF,2.95301223990141e-234,1.23379637857416,0.364,0.05,4.19504918800395e-230
NCR1,0,1.23289015271551,0.332,0.014,0
MCTP2,5.01633785724623e-199,1.2254046190509,0.458,0.1,7.12620956000399e-195
EFHD2,2.07826009186511e-256,1.22034243397256,0.932,0.488,2.95237628650358e-252
C1orf21,1.5116957353842e-197,1.21741448946191,0.489,0.113,2.1475149616868e-193
NCAM1,0,1.21185317855748,0.283,0.006,0
TLE1,4.02276977938868e-203,1.19503826240699,0.369,0.059,5.71474674859955e-199
GZMM,9.29535205058277e-217,1.17435698846182,0.893,0.442,1.32049771230579e-212
CCL5,1.30379027893353e-168,1.17424967929677,0.873,0.416,1.85216447025298e-164
AKR1C3,4.97809756958913e-295,1.16302736561888,0.279,0.017,7.07188540735832e-291
