p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NKG7,2.33388071573067e-36,3.38212910909739,0.902,0.201,3.48891828194578e-32
CCL5,1.15540354283615e-45,3.30393410556014,0.976,0.198,1.72721275618576e-41
IL32,1.40384708552018e-75,3.08944626887823,0.902,0.08,2.09861100814411e-71
GNLY,2.16986036100129e-29,2.92190371625105,0.537,0.071,3.24372425366083e-25
GZMA,1.44884677546474e-107,2.54186151884412,0.829,0.037,2.16588104464225e-103
GZMK,1.71177751950124e-109,2.23098802340337,0.561,0.012,2.5589362139024e-105
CD3E,7.18923648824388e-80,2.22888818566348,0.902,0.072,1.07471896262758e-75
IL7R,1.6141859178093e-42,2.14460543508954,0.61,0.061,2.41304652853312e-38
CST7,2.89575800144206e-97,2.13162010879156,0.878,0.051,4.32886863635574e-93
GZMH,9.58060318022944e-90,2.07891888292772,0.659,0.027,1.4322043694125e-85
CD3G,3.84737092293089e-86,2.03502987032792,0.878,0.059,5.75143479268938e-82
ETS1,4.3462606615369e-66,1.87263151574158,0.976,0.105,6.49722506293151e-62
TRAC,2.58639475321853e-83,1.81546458583738,0.854,0.057,3.86640151658638e-79
TRBC2,3.92440535711678e-71,1.80657158322014,0.878,0.074,5.86659356835387e-67
SYNE2,7.75848163520552e-75,1.75955904516071,0.829,0.062,1.15981541964687e-70
CD3D,1.06861481164306e-82,1.75438445748298,0.878,0.061,1.5974722819252e-78
CD2,6.64672085582003e-60,1.729693863241,0.829,0.082,9.93618300736537e-56
CD8A,2.27342770198689e-118,1.71003053802662,0.732,0.023,3.39854707170019e-114
CTSW,1.43272754703563e-82,1.57945356935408,0.829,0.054,2.14178441006356e-78
GZMM,7.11830224557817e-104,1.57430533010818,0.878,0.046,1.06411500269148e-99
BCL11B,9.31144620621533e-66,1.55112716685674,0.854,0.074,1.39196809336713e-61
FGFBP2,1.66375048513606e-73,1.54758832530222,0.537,0.021,2.48714060022989e-69
